table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Osceola County, Florida,"391,141","403,990","422,543","437,784"
.Palm Beach County, Florida,"1,494,282","1,503,435","1,519,867","1,533,801"
.Pasco County, Florida,"566,156","585,191","609,141","632,996"
.Pinellas County, Florida,"959,793","959,583","961,792","961,596"
.Polk County, Florida,"730,158","755,598","788,382","818,330"
.Putnam County, Florida,"73,372","74,095","74,736","75,955"
.St. Johns County, Florida,"277,099","293,251","307,072","320,110"
.St. Lucie County, Florida,"331,441","344,246","358,886","373,586"
.Santa Rosa County, Florida,"189,011","193,750","198,199","203,162"
.Sarasota County, Florida,"436,237","448,636","462,552","469,013"
.Seminole County, Florida,"471,455","470,857","478,623","484,271"
.Sumter County, Florida,"130,290","134,870","144,767","151,565"
.Suwannee County, Florida,"43,524","44,125","45,405","46,130"
.Taylor County, Florida,"21,743","20,807","21,313","21,582"
.Union County, Florida,"15,425","15,850","15,514","15,532"
.Volusia County, Florida,"555,776","566,368","579,665","590,357"
.Wakulla County, Florida,"33,893","34,270","35,169","36,449"
.Walton County, Florida,"75,941","80,021","83,404","86,354"
.Washington County, Florida,"25,320","24,867","25,405","25,602"
.Appling County, Georgia,"18,376","18,423","18,437","18,457"
.Atkinson County, Georgia,"8,308","8,348","8,160","8,293"
.Bacon County, Georgia,"11,112","11,068","11,173","11,124"
.Baker County, Georgia,"2,852","2,824","2,792","2,743"
.Baldwin County, Georgia,"43,790","43,695","43,633","43,396"
.Banks County, Georgia,"18,081","18,538","19,342","19,789"
.Barrow County, Georgia,"83,981","86,727","89,245","92,792"
.Bartow County, Georgia,"109,314","110,936","112,815","115,041"
.Ben Hill County, Georgia,"17,168","17,128","17,057","17,128"
.Berrien County, Georgia,"18,144","18,117","18,215","18,570"
.Bibb County, Georgia,"157,035","155,980","156,126","156,512"
