table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
.Stutsman County, North Dakota,"21,540","21,579","21,476","21,392"
.Towner County, North Dakota,"2,147","2,128","2,060","2,030"
.Traill County, North Dakota,"7,987","7,987","7,955","7,908"
.Walsh County, North Dakota,"10,529","10,490","10,460","10,305"
.Ward County, North Dakota,"69,921","69,364","68,788","68,332"
.Wells County, North Dakota,"3,972","3,903","3,922","3,876"
.Williams County, North Dakota,"41,182","38,499","37,966","39,113"
.Adams County, Ohio,"27,440","27,574","27,459","27,521"
.Allen County, Ohio,"102,125","101,784","101,097","100,838"
.Ashland County, Ohio,"52,470","52,183","52,024","52,190"
.Ashtabula County, Ohio,"97,495","97,439","96,960","96,845"
.Athens County, Ohio,"62,393","59,096","60,881","62,706"
.Auglaize County, Ohio,"46,472","46,255","45,946","46,050"
.Belmont County, Ohio,"66,292","65,899","65,495","64,918"
.Brown County, Ohio,"43,673","43,696","43,700","43,777"
.Butler County, Ohio,"390,878","387,619","389,728","393,043"
.Carroll County, Ohio,"26,702","26,700","26,686","26,758"
.Champaign County, Ohio,"38,743","38,794","38,743","38,845"
.Clark County, Ohio,"135,887","135,608","134,732","134,610"
.Clermont County, Ohio,"208,750","209,893","210,679","211,972"
.Clinton County, Ohio,"42,028","42,115","41,890","41,938"
.Columbiana County, Ohio,"101,642","101,352","100,569","100,182"
.Coshocton County, Ohio,"36,584","36,658","36,615","36,869"
.Crawford County, Ohio,"42,013","41,782","41,509","41,529"
.Cuyahoga County, Ohio,"1,262,573","1,247,496","1,236,994","1,233,088"
.Darke County, Ohio,"51,893","51,642","51,526","51,415"
.Defiance County, Ohio,"38,262","38,170","38,128","38,315"
.Delaware County, Ohio,"215,166","221,282","226,526","231,636"
.Erie County, Ohio,"75,481","74,886","74,514","74,035"
.Fairfield County, Ohio,"159,448","161,209","162,956","165,360"
.Fayette County, Ohio,"28,975","28,934","28,832","28,817"
.Franklin County, Ohio,"1,324,441","1,317,346","1,321,730","1,326,063"
.Fulton County, Ohio,"42,646","42,499","42,158","42,007"
.Gallia County, Ohio,"29,233","29,224","29,030","28,986"
.Geauga County, Ohio,"95,387","95,708","95,491","95,407"
.Greene County, Ohio,"168,131","168,236","169,027","169,691"
.Guernsey County, Ohio,"38,423","38,287","38,060","38,089"
.Hamilton County, Ohio,"830,377","827,430","824,721","827,058"
.Hancock County, Ohio,"74,928","74,764","74,774","74,704"
.Hardin County, Ohio,"30,727","30,448","30,391","30,368"
.Harrison County, Ohio,"14,491","14,458","14,351","14,159"
.Henry County, Ohio,"27,668","27,560","27,526","27,520"
.Highland County, Ohio,"43,359","43,444","43,426","43,614"
.Hocking County, Ohio,"28,040","28,101","27,818","27,540"
.Holmes County, Ohio,"44,227","44,349","44,375","44,386"
.Huron County, Ohio,"58,495","58,412","58,219","58,199"
.Jackson County, Ohio,"32,662","32,539","32,611","32,606"
.Jefferson County, Ohio,"65,178","65,085","64,273","64,026"
.Knox County, Ohio,"62,803","62,543","63,196","63,320"
.Lake County, Ohio,"232,516","232,222","231,736","231,640"
.Lawrence County, Ohio,"58,137","57,408","56,572","56,118"
.Licking County, Ohio,"178,784","180,021","181,765","183,201"
.Logan County, Ohio,"46,116","46,158","46,062","46,057"
.Lorain County, Ohio,"313,498","314,216","316,031","317,910"
.Lucas County, Ohio,"430,859","429,482","426,719","425,484"
.Madison County, Ohio,"43,849","44,428","43,581","44,602"
.Mahoning County, Ohio,"228,009","226,529","225,922","225,596"
.Marion County, Ohio,"65,388","65,310","64,609","64,851"
.Medina County, Ohio,"182,646","183,394","183,489","184,042"
.Meigs County, Ohio,"22,159","22,078","21,961","21,767"
.Mercer County, Ohio,"42,542","42,392","42,424","42,439"
.Miami County, Ohio,"108,959","109,411","110,213","110,876"
.Monroe County, Ohio,"13,350","13,331","13,215","13,153"
.Montgomery County, Ohio,"537,119","536,155","533,474","533,796"
.Morgan County, Ohio,"13,762","13,703","13,669","13,646"
.Morrow County, Ohio,"34,980","35,205","35,336","35,595"
.Muskingum County, Ohio,"86,468","86,577","86,114","86,305"
.Noble County, Ohio,"14,090","14,309","14,325","14,311"
.Ottawa County, Ohio,"40,296","40,166","39,968","39,803"
.Paulding County, Ohio,"18,811","18,902","18,762","18,706"
.Perry County, Ohio,"35,446","35,464","35,471","35,551"
.Pickaway County, Ohio,"58,656","58,765","60,007","61,086"
.Pike County, Ohio,"27,072","27,094","27,012","27,001"
.Portage County, Ohio,"161,853","159,076","161,742","162,665"
.Preble County, Ohio,"41,007","40,871","40,574","40,556"
.Putnam County, Ohio,"34,385","34,341","34,330","34,199"
.Richland County, Ohio,"124,966","125,341","125,261","125,064"
.Ross County, Ohio,"77,049","76,500","76,508","76,501"
.Sandusky County, Ohio,"58,856","58,741","58,567","58,709"
.Scioto County, Ohio,"73,848","72,989","72,189","71,969"
.Seneca County, Ohio,"55,054","54,864","54,534","54,527"
.Shelby County, Ohio,"48,146","48,023","47,684","47,765"
.Stark County, Ohio,"374,522","373,792","372,785","372,716"
.Summit County, Ohio,"539,821","537,436","535,769","535,733"
.Trumbull County, Ohio,"201,681","201,572","200,726","200,373"
.Tuscarawas County, Ohio,"93,193","92,618","91,971","91,874"
.Union County, Ohio,"63,085","65,106","66,876","69,637"
.Van Wert County, Ohio,"28,916","28,784","28,804","28,704"
.Vinton County, Ohio,"12,801","12,703","12,577","12,474"
.Warren County, Ohio,"243,228","246,828","249,735","252,148"
.Washington County, Ohio,"59,647","59,486","58,868","58,577"
.Wayne County, Ohio,"116,923","116,175","116,552","116,510"
.Williams County, Ohio,"37,078","36,763","36,648","36,591"
.Wood County, Ohio,"132,256","130,310","131,642","132,650"
.Wyandot County, Ohio,"21,864","21,689","21,552","21,457"
.Adair County, Oklahoma,"19,456","19,442","19,516","19,627"
.Alfalfa County, Oklahoma,"5,711","5,695","5,689","5,673"
.Atoka County, Oklahoma,"14,165","14,294","14,327","14,525"
.Beaver County, Oklahoma,"5,030","4,994","5,019","5,018"
.Beckham County, Oklahoma,"22,334","22,032","21,976","22,042"
.Blaine County, Oklahoma,"8,701","8,547","8,445","8,539"
.Bryan County, Oklahoma,"46,330","47,126","48,038","48,967"
.Caddo County, Oklahoma,"26,909","26,461","26,237","26,214"
.Canadian County, Oklahoma,"155,434","161,999","169,254","175,829"
.Carter County, Oklahoma,"48,042","48,254","48,336","48,596"
.Cherokee County, Oklahoma,"47,096","47,659","48,074","48,185"
.Choctaw County, Oklahoma,"14,205","14,363","14,407","14,276"
.Cimarron County, Oklahoma,"2,289","2,247","2,233","2,191"
.Cleveland County, Oklahoma,"296,236","298,110","299,484","301,193"
.Coal County, Oklahoma,"5,279","5,304","5,291","5,266"
.Comanche County, Oklahoma,"121,125","122,324","122,225","121,574"
.Cotton County, Oklahoma,"5,535","5,442","5,449","5,427"
.Craig County, Oklahoma,"14,141","14,201","14,176","14,494"
.Creek County, Oklahoma,"71,841","72,224","72,686","73,332"
.Custer County, Oklahoma,"28,449","28,175","28,039","28,266"
.Delaware County, Oklahoma,"40,392","40,970","41,480","41,703"
.Dewey County, Oklahoma,"4,475","4,418","4,404","4,286"
.Ellis County, Oklahoma,"3,739","3,733","3,683","3,648"
.Garfield County, Oklahoma,"62,691","61,964","61,951","62,023"
.Garvin County, Oklahoma,"25,647","25,770","25,771","25,865"
.Grady County, Oklahoma,"54,881","55,595","56,648","57,375"
.Grant County, Oklahoma,"4,180","4,145","4,122","4,083"
.Greer County, Oklahoma,"5,492","5,480","5,546","5,466"
.Harmon County, Oklahoma,"2,476","2,403","2,416","2,392"
.Harper County, Oklahoma,"3,252","3,177","3,165","3,190"
.Haskell County, Oklahoma,"11,550","11,615","11,667","11,832"
.Hughes County, Oklahoma,"13,346","13,401","13,434","13,436"
.Jackson County, Oklahoma,"24,747","24,744","24,659","24,669"
.Jefferson County, Oklahoma,"5,322","5,390","5,408","5,347"
.Johnston County, Oklahoma,"10,249","10,332","10,346","10,216"
.Kay County, Oklahoma,"43,599","43,715","43,738","43,641"
.Kingfisher County, Oklahoma,"15,178","15,223","15,228","15,481"
.Kiowa County, Oklahoma,"8,501","8,404","8,480","8,398"
.Latimer County, Oklahoma,"9,479","9,454","9,556","9,526"
.Le Flore County, Oklahoma,"48,197","48,603","49,002","49,596"
.Lincoln County, Oklahoma,"33,498","33,846","34,134","34,562"
.Logan County, Oklahoma,"49,736","50,900","51,924","53,029"
.Love County, Oklahoma,"10,158","10,237","10,174","10,296"
.McClain County, Oklahoma,"41,914","43,535","45,410","47,072"
.McCurtain County, Oklahoma,"30,852","30,824","30,773","30,660"
.McIntosh County, Oklahoma,"18,950","19,249","19,403","19,603"
.Major County, Oklahoma,"7,746","7,636","7,536","7,581"
.Marshall County, Oklahoma,"15,340","15,552","15,921","15,970"
.Mayes County, Oklahoma,"39,059","39,259","39,570","39,889"
.Murray County, Oklahoma,"13,876","13,716","13,681","13,754"
.Muskogee County, Oklahoma,"66,246","66,267","66,307","66,677"
.Noble County, Oklahoma,"10,927","10,941","10,845","10,832"
.Nowata County, Oklahoma,"9,320","9,352","9,413","9,438"
.Okfuskee County, Oklahoma,"11,268","11,222","11,227","11,300"
.Oklahoma County, Oklahoma,"798,241","799,845","803,103","808,866"
.Okmulgee County, Oklahoma,"36,693","36,848","37,011","37,035"
.Osage County, Oklahoma,"45,787","45,882","45,852","46,130"
.Ottawa County, Oklahoma,"30,222","30,380","30,329","30,287"
.Pawnee County, Oklahoma,"15,557","15,707","15,681","15,864"
.Payne County, Oklahoma,"81,648","82,163","82,701","83,352"
.Pittsburg County, Oklahoma,"43,788","43,630","43,476","43,479"
.Pontotoc County, Oklahoma,"38,095","38,184","38,032","38,396"
.Pottawatomie County, Oklahoma,"72,559","73,045","73,351","73,791"
.Pushmataha County, Oklahoma,"10,792","10,767","10,709","10,800"
.Roger Mills County, Oklahoma,"3,429","3,365","3,337","3,295"
.Rogers County, Oklahoma,"95,386","96,871","99,060","100,248"
.Seminole County, Oklahoma,"23,517","23,542","23,464","23,565"
.Sequoyah County, Oklahoma,"39,257","39,494","39,801","40,291"
.Stephens County, Oklahoma,"42,822","43,110","43,616","44,014"
.Texas County, Oklahoma,"21,289","20,849","20,505","20,371"
.Tillman County, Oklahoma,"6,947","7,040","6,971","6,869"
.Tulsa County, Oklahoma,"670,702","674,051","677,061","682,868"
.Wagoner County, Oklahoma,"81,384","84,230","86,697","89,280"
.Washington County, Oklahoma,"52,615","52,903","53,238","53,706"
.Washita County, Oklahoma,"10,903","10,899","10,736","10,736"
.Woods County, Oklahoma,"8,598","8,623","8,602","8,564"
.Woodward County, Oklahoma,"20,412","20,241","20,015","19,947"
.Baker County, Oregon,"16,731","16,880","16,937","16,912"
.Benton County, Oregon,"95,214","96,321","97,661","97,713"
.Clackamas County, Oregon,"422,468","423,804","423,118","423,173"
.Clatsop County, Oregon,"41,162","41,932","41,652","41,102"
.Columbia County, Oregon,"52,724","53,202","53,607","53,880"
.Coos County, Oregon,"64,979","65,126","64,923","64,212"
.Crook County, Oregon,"24,929","25,762","26,377","26,952"
.Curry County, Oregon,"23,519","23,719","23,613","23,296"
.Deschutes County, Oregon,"199,464","205,283","206,483","208,513"
.Douglas County, Oregon,"111,295","112,149","112,290","112,435"
.Gilliam County, Oregon,"2,016","2,013","2,008","2,026"
.Grant County, Oregon,"7,240","7,288","7,225","7,215"
.Harney County, Oregon,"7,507","7,602","7,532","7,440"
.Hood River County, Oregon,"23,962","24,086","24,035","23,745"
.Jackson County, Oregon,"223,620","224,353","221,669","220,768"
.Jefferson County, Oregon,"24,581","25,105","25,324","25,454"
.Josephine County, Oregon,"88,238","88,637","87,800","87,821"
.Klamath County, Oregon,"69,553","70,246","70,190","70,003"
.Lake County, Oregon,"8,172","8,290","8,373","8,293"
.Lane County, Oregon,"383,308","384,121","382,181","381,181"
.Lincoln County, Oregon,"50,510","51,013","50,752","50,821"
.Linn County, Oregon,"128,981","130,120","130,622","131,496"
.Malheur County, Oregon,"31,642","31,677","31,858","32,044"
.Marion County, Oregon,"346,350","347,851","346,719","346,741"
.Morrow County, Oregon,"12,221","12,359","12,292","12,302"
.Multnomah County, Oregon,"816,514","805,319","794,563","789,698"
.Polk County, Oregon,"87,956","89,373","89,593","89,805"
.Sherman County, Oregon,"1,871","1,907","1,947","1,951"
.Tillamook County, Oregon,"27,461","27,808","27,521","27,417"
.Umatilla County, Oregon,"80,108","80,153","80,261","80,053"
.Union County, Oregon,"26,173","26,288","26,165","25,944"
.Wallowa County, Oregon,"7,406","7,558","7,650","7,674"
.Wasco County, Oregon,"26,640","26,739","26,555","26,333"
.Washington County, Oregon,"601,130","602,453","600,086","598,865"
.Wheeler County, Oregon,"1,454","1,447","1,435","1,436"
.Yamhill County, Oregon,"107,945","108,481","108,362","108,644"
.Adams County, Pennsylvania,"103,798","105,686","105,959","106,748"
.Allegheny County, Pennsylvania,"1,249,565","1,245,220","1,232,605","1,224,825"
.Armstrong County, Pennsylvania,"65,470","65,212","64,704","64,074"
.Beaver County, Pennsylvania,"167,873","166,967","165,737","165,631"
.Bedford County, Pennsylvania,"47,568","47,487","47,421","47,350"
.Berks County, Pennsylvania,"428,671","429,635","431,573","432,821"
.Blair County, Pennsylvania,"122,666","122,150","120,734","120,273"
.Bradford County, Pennsylvania,"59,968","60,137","59,854","59,695"
.Bucks County, Pennsylvania,"646,173","647,397","645,557","645,984"
.Butler County, Pennsylvania,"194,077","196,759","197,368","198,413"
.Cambria County, Pennsylvania,"133,211","132,237","131,429","130,668"
.Cameron County, Pennsylvania,"4,527","4,458","4,406","4,380"
.Carbon County, Pennsylvania,"64,752","65,522","65,493","65,458"
.Centre County, Pennsylvania,"157,979","157,984","157,533","157,795"
.Chester County, Pennsylvania,"534,830","540,939","546,638","549,784"
.Clarion County, Pennsylvania,"37,199","37,594","37,227","36,970"
.Clearfield County, Pennsylvania,"80,432","78,335","77,824","77,090"
.Clinton County, Pennsylvania,"37,370","38,015","37,776","37,607"
.Columbia County, Pennsylvania,"64,686","64,981","65,289","65,439"
.Crawford County, Pennsylvania,"83,807","83,209","82,405","82,001"
.Cumberland County, Pennsylvania,"260,258","265,537","268,532","270,738"
.Dauphin County, Pennsylvania,"286,710","288,252","288,687","289,234"
.Delaware County, Pennsylvania,"576,356","576,892","575,873","576,720"
.Elk County, Pennsylvania,"30,946","30,796","30,467","30,198"
.Erie County, Pennsylvania,"270,578","269,257","268,840","267,571"
.Fayette County, Pennsylvania,"128,588","127,122","125,368","123,915"
.Forest County, Pennsylvania,"6,958","6,890","6,603","6,449"
.Franklin County, Pennsylvania,"155,949","156,573","156,951","157,854"
.Fulton County, Pennsylvania,"14,579","14,551","14,554","14,468"
.Greene County, Pennsylvania,"35,868","35,284","34,529","34,357"
.Huntingdon County, Pennsylvania,"44,049","43,958","43,297","43,514"
.Indiana County, Pennsylvania,"83,151","83,201","83,064","83,094"
.Jefferson County, Pennsylvania,"44,487","44,120","43,731","43,612"
.Juniata County, Pennsylvania,"23,484","23,355","23,281","23,243"
.Lackawanna County, Pennsylvania,"215,539","216,043","215,750","216,123"
.Lancaster County, Pennsylvania,"552,821","556,292","556,660","558,589"
.Lawrence County, Pennsylvania,"85,970","85,554","84,812","84,472"
.Lebanon County, Pennsylvania,"143,278","143,759","143,902","144,252"
.Lehigh County, Pennsylvania,"374,501","375,889","376,274","377,754"
.Luzerne County, Pennsylvania,"325,217","325,942","326,496","327,388"
.Lycoming County, Pennsylvania,"114,125","113,561","113,034","112,724"
.McKean County, Pennsylvania,"40,399","40,317","39,819","39,519"
.Mercer County, Pennsylvania,"110,550","109,958","109,137","108,503"
.Mifflin County, Pennsylvania,"46,137","46,171","45,984","45,922"
